;-----------------------------------------------------------
;ICAO	Latitude	Longitude	City/Airport
CNS6	42.738327	-080.816666	Straffordville
CNS4	45.333328	-074.616669	Alexandria
CNR6	45.099998	-076.116669	Carleton Place
CNR4	45.233330	-081.633331	Tobermory
CNQ4	42.926941	-080.749725	Tillsonburg
CNQ3	42.979160	-079.324722	Welland
CNP7	44.833332	-075.316666	Iroquis
CNT3	51.657772	-085.900833	Ogoki Post
CNN4	43.694996	-081.003334	Atwood
CNX3	49.750000	-084.033356	Carey Lake
CNN8	44.401939	-076.244164	Gananoque
CNT6	43.584999	-080.603333	Elmira
CNT7	43.989162	-077.139160	Picton
CNT8	43.991653	-079.638336	Pottageville
CNU4	44.191673	-077.309998	Belleville
CNU8	43.935829	-079.262222	Markham
CNZ8	43.159992	-079.599167	Grimsby
CNW2	45.163330	-079.535004	Windermere
CNY3	44.449162	-080.158333	Collingwood
CNY4	44.183331	-079.833336	Alliston
CNZ3	42.306385	-082.081947	Chatham
CNZ4	45.500008	-077.650009	Madawaska Valley
CNN3	44.028332	-080.206665	Burbank
CNP3	45.413605	-076.365829	South Renfrew Mun
CNV4	45.616661	-074.650002	Hawkesbury
CNF4	44.366665	-078.783058	Lindsay
CNA3	44.406384	-079.731667	Barrie Airpark
CNA4	45.549992	-079.349998	Emsdale
CNA8	45.044991	-075.303329	Winchester
CNA9	44.918053	-076.935837	Tomvale
CNB9	44.485271	-079.555557	Lake Simcoe Regl
CNC3	43.760269	-079.875000	Brampton
CNC4	43.563889	-080.196114	Guelph
CND4	45.110825	-078.639999	Stanhope
CND8	44.109993	-078.246666	Gore's Landing
CNE2	44.615829	-079.333885	Orillia (Mara)
CNE3	53.966381	-091.026390	Bearskin Lake
CNE4	48.741661	-080.793335	Iroquois Falls
CNM5	53.013882	-089.849998	Kingfisher Lake
CNF3	45.486103	-075.096115	Pendleton
CNA2	42.554993	-081.803337	Highgate
CNF8	45.314442	-078.972504	Dwight
CNH3	44.229996	-080.913330	Mulock
CNJ3	42.916668	-078.966667	Ft Erie
CNJ4	44.683327	-079.316666	Orillia
CNK2	44.156658	-081.400002	Ellis Field
CNK4	45.256943	-079.829445	Georgian Bay
CNL3	44.638885	-075.750557	Brockville
CNL4	44.414165	-081.416389	Port Elgin
CNP8	44.133327	-079.016388	Greenbank
CNL8	44.654991	-079.879997	Boker Field
CNM2	42.825001	-081.548332	Melbourne
CNM4	43.415546	-080.934441	Stratford Mun
CNE9	42.096657	-082.879997	Essex
CODR	17.616657	-061.833332	Codrington
COCO	17.551662	-061.768333	Cocoa Point
CPQ2	42.883327	-080.866669	Culloden
CPS4	43.163330	-081.412498	Lucan
CPS2	44.249989	-078.116669	Elmhirst's Resort
CPR7	43.868053	-081.298332	Wingham
CPR5	43.109718	-080.820831	Woodstock
CPR3	43.849991	-080.783333	Palmerston
CPZ3	44.069435	-077.338058	Mountain View
CPQ4	44.299995	-079.550003	Lefroy
CPT2	45.977497	-081.494720	Killarney
CPP3	42.289989	-082.000000	Blenheim
CPN5	43.743324	-080.991669	Listowel
CPN4	44.158333	-081.062775	Saugeen Mun
CPM7	44.136665	-079.628334	Bradford
CPM6	42.976658	-082.138336	Reeces Corners
CPM5	43.993328	-079.779999	Volk
CPR2	45.241661	-075.298332	Embrun
CPV4	44.150002	-080.019997	Mansfield
CPL5	46.316658	-083.533333	Thessalon
CPC3	53.849995	-080.449997	Arthur East
CPY4	44.364998	-078.000000	Norwood
CPX4	46.199993	-080.316666	North Monetville Skypark
CPX3	47.533325	-079.616669	New Liskeard
CPS5	51.604996	-088.581665	Miminiska
CPV8	52.992222	-092.838890	Keewaywin
CPS7	43.774998	-080.228333	Smith
CPV3	46.283329	-083.949997	St Jopseh I
CPV2	43.958332	-080.154999	Kot Field
CPU6	44.184994	-077.108345	Tyendinaga
CPU3	42.531658	-081.606667	New Glasgow
CPT4	43.883331	-080.533333	Arthur North
CPT3	43.321659	-080.176666	Rockton
CPW3	46.936661	-079.680000	Nobleton
CPD5	42.889996	-082.121666	Petrolia
CPE7	44.388332	-079.943336	New Lowell
CPE6	45.816662	-079.333336	Sundridge
CPE5	42.878334	-079.353333	Port Colborne
CPE4	43.443325	-080.231667	Reid's Field
CPE3	47.728333	-080.316666	Elk Lake
CPF2	46.420277	-084.092224	Bar River
CPD7	44.398331	-078.138336	Indian River
CPB9	44.266663	-079.339996	Baldwin
CPD4	43.750000	-081.233330	Armstrong Field
CPC6	43.948326	-081.271667	Thompson
CPL4	43.289444	-081.712502	Grand Bend
CPB8	42.579998	-081.684998	Rodney
CPD2	43.744999	-081.176666	Ethel
CPA4	42.819996	-080.266670	Dennison
CPD8	45.564445	-074.809723	Windover Field
CPK2	42.966663	-081.591667	Blue Yonder
CPF4	45.594994	-076.833336	Cobden/Bruce McPhail Mem.
CPK5	43.316666	-081.033333	Stratford
CPL3	45.099998	-075.633331	Rideau Valley
CPJ5	44.241657	-077.561668	Stirling
CPH9	43.888325	-080.995003	Fordwich
CPH5	42.853325	-080.288330	Simcoe
CPH3	43.981667	-080.260002	Grand Valley
CPF7	44.493324	-081.334999	Southampton
CPG7	43.734993	-080.446663	Juergensen
CPG6	44.458332	-081.379997	Pryde
CPF6	43.166660	-079.699997	Stoney Creek
CPG5	45.582775	-074.548889	Hawkesbury (East)
CPG4	43.591667	-080.511665	East
CPF8	44.403332	-077.759445	Campbellford
CPH2	46.116661	-077.533333	Rolph
CRB2	42.139996	-082.653336	Cottam
CRML	42.294991	-082.535004	Le  Cunff
CSP5	45.501663	-073.241669	St Mathias
CSQ5	45.206657	-073.888336	Howick
CSM3	46.051662	-071.257225	Thetford Mines
CSR8	48.917221	-079.178612	La Sarre
CSQ3	45.481110	-072.310280	Valcourt
CSR3	46.112774	-071.928886	Victoriaville
